~jcswenso/fsc lab2.fs
Microsoft (R) F# 2.0 Compiler build 1.9.9.9
Copyright (c) Microsoft Corporation. All Rights Reserved.
mono lab2.exe
Should be 26: 26
Should be 4: 4
Should be 29: 29
Should be 224: 224
Should be 2.02 | 1.98: 2.02
Should be 2.02 | 1.98: 1.98
Should be 2: 2.00
Should be 2.02 | 1.98: 1.98
Should be (1.96, 2.04): 2.00

Trails:
0.979218, 1.018164
1.019182, 0.998002
1.019182, 1.018164
1.126374, 0.998002
0.940821, 0.903026
0.979218, 0.921269
0.999000, 1.038733
0.940821, 1.038733
1.019182, 0.998002
0.940821, 0.921269
0.999000, 0.978239
1.082207, 0.921269
0.922191, 1.147981
0.959828, 1.081125
0.999000, 0.921269
1.039772, 0.998002
0.999000, 0.978239
1.019182, 0.998002
1.019182, 1.125249
1.060777, 1.038733
0.959828, 1.081125
0.999000, 1.059717
0.999000, 0.939881
0.999000, 0.998002
0.959828, 0.939881
1.019182, 0.978239
1.060777, 0.978239
1.039772, 0.903026
1.019182, 0.885145
1.060777, 0.939881
1.019182, 1.081125
0.999000, 0.978239
1.039772, 0.939881
0.959828, 0.998002
1.039772, 0.958868
0.979218, 1.038733
0.959828, 0.903026
1.019182, 0.867617
0.922191, 0.850437
1.019182, 1.059717
1.019182, 1.038733
0.999000, 0.978239
1.060777, 0.939881
0.979218, 1.081125
0.999000, 0.903026
0.979218, 1.059717
1.082207, 0.998002
1.019182, 0.939881
1.104070, 1.038733
1.060777, 0.921269
0.999000, 1.081125
1.019182, 1.081125
1.039772, 0.958868
0.959828, 1.081125
0.979218, 0.998002
1.019182, 0.978239
0.959828, 0.939881
0.868485, 0.978239
0.903930, 1.102966
0.979218, 0.921269
1.060777, 0.921269
1.019182, 0.998002
0.940821, 0.885145
0.999000, 0.921269
1.039772, 0.958868
0.999000, 1.038733
1.019182, 1.018164
0.979218, 0.978239
0.999000, 1.059717
0.979218, 1.038733
0.979218, 1.059717
0.959828, 0.998002
1.082207, 0.939881
0.979218, 0.958868
1.039772, 0.939881
1.019182, 0.978239
0.979218, 0.978239
1.060777, 1.147981
0.979218, 1.081125
1.019182, 1.038733
0.999000, 0.939881
0.999000, 0.978239
1.082207, 1.038733
1.019182, 0.921269
1.019182, 0.978239
0.979218, 0.978239
0.940821, 1.038733
1.019182, 0.958868
1.019182, 1.018164
1.060777, 0.885145
1.060777, 0.978239
0.959828, 1.102966
0.922191, 1.147981
0.999000, 0.939881
1.060777, 1.018164
0.979218, 1.125249
0.959828, 0.885145
1.019182, 1.102966
1.019182, 1.038733
1.019182, 1.018164
1.039772, 1.038733
1.060777, 1.018164
0.979218, 1.102966
0.922191, 0.867617
0.959828, 0.978239
1.019182, 0.939881
1.060777, 1.059717
0.979218, 0.867617
1.019182, 0.903026
0.959828, 0.958868
1.019182, 1.038733
0.903930, 0.903026
1.019182, 1.018164
1.019182, 0.998002
1.039772, 0.903026
0.999000, 1.059717
1.019182, 0.978239
0.940821, 1.147981
1.019182, 0.978239
0.999000, 0.939881
0.979218, 0.903026
1.039772, 1.059717
0.979218, 0.998002
0.999000, 1.081125
0.999000, 0.958868
0.979218, 0.885145
1.019182, 0.998002
0.979218, 0.921269
0.979218, 1.038733
0.999000, 0.978239
1.039772, 0.998002
0.979218, 1.018164
1.019182, 1.018164
0.903930, 0.978239
1.019182, 1.038733
0.940821, 1.038733
0.903930, 1.125249
0.999000, 0.958868
0.959828, 0.921269
1.019182, 1.018164
0.999000, 0.958868
0.940821, 0.978239
0.959828, 0.921269
0.979218, 0.939881
1.082207, 0.998002
1.019182, 1.038733
0.959828, 0.885145
1.019182, 0.998002
1.039772, 0.958868
0.979218, 0.998002
0.979218, 0.978239
0.940821, 0.958868
0.999000, 0.998002
1.039772, 0.978239
1.039772, 1.018164
1.019182, 1.038733
0.959828, 0.998002
1.060777, 0.939881
1.039772, 0.958868
1.019182, 0.958868
0.959828, 0.885145
1.019182, 0.958868
1.060777, 0.998002
0.979218, 1.038733
0.979218, 0.978239
0.999000, 0.939881
0.940821, 0.998002
1.039772, 0.939881
0.999000, 0.921269
0.979218, 0.958868
1.019182, 1.038733
0.959828, 0.978239
0.999000, 1.102966
0.940821, 0.958868
0.999000, 0.921269
0.959828, 1.038733
0.979218, 0.885145
1.060777, 0.978239
1.019182, 0.903026
0.979218, 0.998002
0.999000, 1.194832
0.979218, 0.939881
1.060777, 0.958868
0.903930, 1.018164
0.959828, 0.958868
0.999000, 1.018164
0.940821, 0.998002
0.999000, 1.171172
0.959828, 1.059717
1.019182, 1.038733
0.922191, 0.939881
1.039772, 1.038733
0.959828, 0.885145
0.979218, 0.978239
1.039772, 1.038733
0.999000, 0.939881
0.959828, 0.939881
0.999000, 1.018164
0.979218, 1.018164
1.019182, 0.939881
1.104070, 0.921269
1.082207, 0.978239
0.959828, 0.958868
0.999000, 1.038733
0.959828, 1.018164
0.999000, 1.102966
0.979218, 1.038733
1.060777, 1.081125
1.039772, 0.998002
1.039772, 0.921269
1.104070, 0.978239
1.019182, 0.921269
0.979218, 0.958868
0.979218, 0.939881
0.940821, 1.018164
1.060777, 1.018164
1.039772, 0.921269
0.999000, 0.998002
0.959828, 0.958868
1.039772, 1.059717
1.019182, 0.939881
0.959828, 0.903026
0.959828, 1.018164
0.959828, 0.978239
1.082207, 0.998002
0.922191, 0.998002
0.999000, 1.059717
0.999000, 1.059717
0.979218, 1.081125
1.060777, 0.998002
0.979218, 1.081125
0.979218, 0.921269
0.940821, 1.018164
0.999000, 1.081125
1.019182, 0.939881
0.979218, 0.921269
1.039772, 0.978239
0.959828, 0.978239
0.922191, 0.867617
0.979218, 0.903026
1.019182, 1.147981
0.922191, 1.018164
0.999000, 0.958868
1.060777, 0.921269
1.019182, 0.958868
1.060777, 1.038733
1.019182, 0.939881
1.039772, 0.939881
0.979218, 0.903026
0.999000, 1.125249
0.999000, 1.018164
0.999000, 1.102966
0.922191, 0.939881
0.979218, 0.978239
0.940821, 1.038733
1.060777, 1.059717
1.082207, 1.081125
0.922191, 0.958868
1.039772, 0.978239
1.019182, 0.939881
0.999000, 1.059717
0.922191, 0.939881
0.999000, 1.081125
0.979218, 0.978239
0.959828, 1.059717
0.959828, 1.038733
0.979218, 0.978239
0.959828, 0.885145
1.039772, 0.921269
0.922191, 1.038733
0.940821, 1.018164
1.039772, 0.978239
0.922191, 0.958868
0.979218, 1.059717
0.979218, 0.998002
0.999000, 0.958868
0.999000, 1.038733
0.999000, 1.081125
0.979218, 0.998002
0.979218, 1.018164
1.082207, 0.958868
1.039772, 1.125249
0.999000, 1.059717
1.039772, 0.921269
1.019182, 1.102966
1.039772, 1.018164
0.959828, 1.102966
1.019182, 1.018164
0.979218, 1.038733
0.959828, 0.885145
0.979218, 1.081125
0.903930, 1.081125
1.039772, 1.059717
1.104070, 1.147981
1.060777, 0.939881
1.019182, 0.921269
1.039772, 0.978239
0.999000, 0.958868
0.959828, 0.998002
1.060777, 1.125249
1.019182, 0.921269
0.959828, 1.038733
1.019182, 0.921269
0.999000, 1.038733
0.959828, 0.939881
0.979218, 0.998002
0.999000, 0.998002
1.019182, 1.059717
0.979218, 0.885145
1.060777, 1.102966
0.999000, 0.921269
1.019182, 1.038733
0.940821, 1.059717
1.039772, 0.921269
0.999000, 0.958868
0.999000, 1.018164
0.959828, 0.958868
0.979218, 0.998002
0.999000, 0.998002
1.019182, 1.059717
1.039772, 0.978239
1.060777, 0.921269
0.979218, 1.038733
1.060777, 0.998002
0.959828, 1.018164
0.979218, 0.998002
0.999000, 1.018164
0.959828, 1.018164
1.019182, 1.059717
0.940821, 0.867617
0.959828, 1.125249
0.999000, 1.018164
1.082207, 0.921269
0.979218, 0.939881
0.959828, 0.998002
0.959828, 0.921269
1.019182, 0.998002
0.979218, 0.921269
0.940821, 0.958868
1.039772, 0.998002
0.999000, 1.038733
0.940821, 0.958868
1.019182, 0.921269
0.979218, 1.038733
0.940821, 0.978239
1.019182, 1.018164
0.999000, 0.958868
0.922191, 0.939881
0.979218, 0.958868
1.039772, 1.018164
1.104070, 0.958868
0.979218, 0.903026
0.999000, 0.958868
0.979218, 0.998002
0.959828, 1.125249
0.999000, 0.903026
0.979218, 1.059717
1.039772, 0.958868
0.999000, 0.958868
1.039772, 0.958868
1.060777, 0.978239
1.019182, 0.998002
1.019182, 0.998002
0.979218, 1.038733
0.922191, 0.998002
0.959828, 1.081125
1.019182, 0.998002
0.999000, 0.885145
1.039772, 0.998002
1.082207, 0.939881
0.940821, 0.921269
0.999000, 1.018164
1.060777, 0.958868
0.999000, 0.921269
1.019182, 0.998002
1.060777, 1.081125
0.940821, 0.978239
0.979218, 0.998002
0.959828, 0.939881
0.979218, 1.038733
1.019182, 1.059717
1.019182, 0.958868
0.979218, 0.978239
0.959828, 0.921269
0.999000, 1.059717
0.922191, 0.998002
1.019182, 1.059717
0.999000, 0.998002
0.979218, 1.038733
1.082207, 0.958868
1.082207, 1.038733
0.979218, 0.978239
0.999000, 0.921269
0.979218, 0.978239
1.060777, 0.921269
0.979218, 0.958868
1.060777, 1.102966
1.060777, 1.038733
0.922191, 1.038733
0.999000, 0.998002
0.999000, 0.939881
1.039772, 1.147981
0.999000, 1.081125
1.082207, 0.978239
1.019182, 0.921269
1.060777, 0.939881
0.979218, 0.978239
0.999000, 0.998002
0.999000, 1.018164
0.999000, 0.921269
0.959828, 1.018164
1.019182, 0.903026
0.922191, 0.958868
0.979218, 0.998002
0.979218, 1.038733
1.019182, 1.102966
1.039772, 0.958868
0.999000, 0.850437
1.019182, 1.038733
1.019182, 0.998002
1.039772, 0.903026
1.039772, 1.059717
1.019182, 0.978239
1.019182, 1.038733
1.060777, 0.958868
0.999000, 0.867617
1.060777, 1.018164
1.019182, 0.998002
0.999000, 1.038733
1.060777, 0.998002
0.922191, 0.958868
0.940821, 0.998002
1.019182, 0.921269
1.019182, 0.958868
0.999000, 0.958868
0.979218, 0.998002
0.999000, 0.998002
1.019182, 1.038733
0.922191, 1.059717
0.979218, 1.059717
1.060777, 1.059717
0.959828, 1.038733
0.979218, 0.939881
0.979218, 1.038733
0.999000, 1.018164
1.039772, 1.038733
1.082207, 1.018164
1.019182, 0.978239
1.039772, 1.018164
0.979218, 1.147981
0.979218, 1.038733
0.959828, 1.038733
1.104070, 1.038733
1.019182, 1.147981
0.999000, 1.018164
0.999000, 0.903026
0.979218, 1.081125
1.019182, 0.958868
1.019182, 0.978239
0.979218, 0.978239
0.979218, 0.958868
0.940821, 1.038733
0.979218, 0.978239
1.019182, 0.978239
0.959828, 0.903026
0.979218, 1.018164
0.999000, 1.081125
0.979218, 1.038733
1.039772, 0.958868
0.979218, 0.939881
1.039772, 1.018164
0.959828, 0.921269
0.999000, 0.939881
1.039772, 0.958868
0.979218, 0.998002
0.999000, 0.939881
0.959828, 1.059717
1.082207, 1.059717
1.019182, 1.102966
0.999000, 0.978239
0.940821, 1.038733
1.039772, 1.059717
0.922191, 1.018164
0.922191, 0.978239
0.999000, 0.998002
1.019182, 0.978239
0.940821, 0.817089
0.979218, 0.998002
0.922191, 0.998002
1.039772, 1.038733
0.999000, 0.998002
1.019182, 1.102966
1.019182, 0.998002
1.060777, 1.038733
1.019182, 1.018164
1.060777, 0.998002
1.082207, 1.059717
0.999000, 0.903026
0.922191, 0.958868
1.039772, 0.978239
0.999000, 1.018164
1.082207, 0.958868
1.060777, 0.958868
0.999000, 1.125249
0.979218, 1.018164
1.019182, 1.038733
0.979218, 0.978239
1.039772, 0.958868
1.082207, 1.038733
0.940821, 0.921269
0.979218, 0.958868
0.999000, 1.102966
0.922191, 1.059717
0.959828, 0.958868
0.959828, 0.958868
0.979218, 0.958868
0.979218, 0.958868
1.019182, 0.998002
1.039772, 0.998002
1.019182, 1.147981
0.999000, 1.038733
1.019182, 0.958868
0.999000, 0.958868
0.979218, 0.978239
0.999000, 1.018164
0.959828, 0.978239
1.060777, 0.978239
0.999000, 0.998002
1.019182, 1.038733
1.039772, 1.125249
0.999000, 0.867617
1.039772, 0.998002
1.039772, 1.018164
0.999000, 0.998002
0.940821, 1.038733
0.979218, 0.998002
0.979218, 0.921269
1.039772, 1.038733
0.959828, 0.958868
1.019182, 0.903026
1.060777, 1.038733
0.979218, 0.998002
1.039772, 1.038733
0.959828, 1.171172
0.959828, 0.978239
1.019182, 1.018164
0.959828, 0.921269
0.999000, 0.958868
0.999000, 1.081125
1.039772, 0.903026
1.019182, 1.018164
0.959828, 0.978239
1.104070, 0.958868
1.082207, 1.081125
0.999000, 1.102966
0.999000, 1.102966
0.999000, 0.958868
0.979218, 0.978239
0.940821, 1.081125
1.039772, 1.018164
1.060777, 0.921269
0.979218, 0.921269
0.959828, 1.102966
0.979218, 0.921269
1.019182, 0.921269
0.999000, 0.867617
1.039772, 1.125249
1.082207, 0.998002
0.940821, 1.059717
0.999000, 1.018164
0.922191, 0.921269
0.999000, 1.125249
0.999000, 0.958868
0.979218, 0.998002
0.999000, 1.081125
0.940821, 0.939881
1.019182, 0.939881
0.999000, 0.958868
0.979218, 0.978239
0.999000, 1.038733
1.039772, 1.018164
1.019182, 0.958868
0.940821, 0.958868
1.039772, 1.018164
1.019182, 1.038733
0.979218, 0.885145
0.979218, 0.921269
1.039772, 1.038733
0.999000, 0.978239
1.019182, 0.885145
0.922191, 1.018164
0.959828, 1.059717
1.060777, 0.921269
1.019182, 0.921269
1.039772, 0.958868
0.999000, 1.038733
0.979218, 0.958868
0.999000, 1.102966
0.999000, 0.903026
0.999000, 0.867617
0.979218, 1.038733
1.019182, 0.939881
0.999000, 0.958868
1.039772, 0.939881
1.082207, 0.998002
1.060777, 0.998002
0.999000, 1.018164
1.039772, 1.018164
1.019182, 1.018164
0.959828, 0.958868
1.039772, 0.998002
1.019182, 0.978239
0.959828, 0.978239
0.979218, 1.147981
1.019182, 0.939881
0.979218, 0.939881
1.039772, 1.018164
0.999000, 1.038733
1.060777, 1.018164
1.019182, 0.978239
1.039772, 1.059717
1.039772, 0.978239
1.039772, 1.038733
0.999000, 1.018164
1.060777, 1.171172
1.019182, 0.958868
0.959828, 1.038733
0.999000, 0.958868
0.940821, 0.850437
0.979218, 0.978239
0.999000, 0.958868
0.979218, 0.903026
0.979218, 0.958868
0.940821, 1.102966
1.019182, 0.921269
0.979218, 0.958868
0.999000, 1.038733
1.019182, 0.903026
0.979218, 1.018164
0.999000, 0.978239
0.940821, 0.998002
0.903930, 0.958868
0.959828, 1.081125
1.060777, 0.958868
1.019182, 0.939881
0.959828, 1.018164
0.999000, 0.998002
0.959828, 1.018164
1.039772, 1.038733
0.903930, 0.921269
1.019182, 1.018164
1.039772, 0.921269
1.019182, 0.998002
0.999000, 0.998002
0.999000, 0.885145
1.019182, 0.921269
0.999000, 1.038733
0.979218, 0.998002
0.959828, 1.081125
0.979218, 0.885145
0.979218, 0.998002
1.060777, 0.978239
1.060777, 0.958868
0.903930, 1.059717
0.999000, 0.958868
1.019182, 0.978239
0.959828, 0.978239
0.999000, 1.059717
0.979218, 1.038733
0.940821, 0.998002
0.959828, 1.081125
0.940821, 0.958868
0.959828, 0.939881
0.979218, 0.921269
0.979218, 0.939881
0.959828, 1.038733
0.959828, 0.958868
0.999000, 0.939881
1.019182, 1.059717
1.060777, 0.978239
0.922191, 1.018164
0.959828, 0.939881
0.979218, 1.038733
0.979218, 0.958868
0.979218, 1.102966
1.039772, 0.939881
0.979218, 0.939881
0.940821, 0.958868
0.999000, 0.939881
0.999000, 1.102966
1.082207, 0.978239
0.979218, 0.939881
1.019182, 1.125249
1.039772, 1.081125
0.999000, 0.903026
0.999000, 0.978239
1.019182, 1.018164
0.979218, 0.998002
0.922191, 0.921269
0.903930, 1.038733
0.999000, 0.921269
0.999000, 1.102966
0.999000, 1.018164
0.922191, 1.081125
0.999000, 1.018164
0.999000, 0.978239
1.019182, 1.018164
1.126374, 0.998002
1.060777, 0.978239
0.999000, 0.939881
1.039772, 0.978239
0.959828, 1.038733
0.999000, 1.038733
0.999000, 1.081125
1.060777, 1.038733
0.940821, 0.939881
1.082207, 0.921269
0.979218, 1.059717
1.082207, 0.903026
1.082207, 0.998002
1.019182, 1.081125
0.959828, 0.958868
0.999000, 0.998002
1.060777, 0.958868
1.039772, 1.018164
1.019182, 1.102966
1.039772, 0.978239
0.999000, 0.903026
1.082207, 1.059717
0.999000, 0.978239
0.979218, 0.998002
0.979218, 1.018164
0.922191, 0.867617
0.979218, 0.903026
1.039772, 0.939881
0.999000, 0.958868
0.940821, 1.059717
0.999000, 1.038733
0.959828, 0.978239
0.959828, 1.038733
0.999000, 0.903026
1.019182, 1.038733
0.999000, 1.038733
0.999000, 0.978239
0.940821, 0.885145
0.979218, 0.978239
0.940821, 0.921269
0.959828, 0.939881
0.886030, 1.059717
1.019182, 0.978239
0.979218, 0.978239
1.039772, 1.038733
0.999000, 0.958868
1.082207, 0.978239
0.999000, 0.998002
0.979218, 0.958868
1.019182, 0.885145
0.959828, 0.885145
1.039772, 0.921269
1.019182, 0.978239
1.039772, 0.921269
0.999000, 0.939881
0.922191, 0.921269
1.019182, 0.921269
0.959828, 0.978239
0.922191, 1.038733
1.060777, 0.958868
0.999000, 0.958868
